Designator,Mid X,Mid Y,Rotation,Layer
D1,164.739573,-121.53,180.0,top
D2,164.69,-114.11,180.0,top
D3,164.739573,-106.87,180.0,top
J1,123.375,-102.925,270.0,top
R1,154.37,-116.65,180.0,top
R2,154.37,-114.1085,180.0,top
R3,154.37,-111.5685,180.0,top
R4,120.47,-109.81,270.0,top
R5,117.32,-109.81,270.0,top
SW1,119.885,-135.91,0.0,top
SW2,119.885,-155.25,0.0,top
SW3,139.15,-135.91,0.0,top
SW4,139.135,-155.25,0.0,top
SW5,158.385,-135.91,0.0,top
SW6,158.385,-155.25,0.0,top
U1,140.15,-111.5685,90.0,top
